Pool Name,Pool Address,Backer Address,USDC Amount,Capped Airdrop GFI,Uncapped Airdrop GFI,Risk Bonus GFI,Modeled Liq. Mining GFI,TOTAL GFI DISTRIBUTION,Immeditely available,Unlocks over 12 months,Return at price
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0x5725a458b319d73B8Ec84c47de80620E7B191B0C,"$40,000.0",874.64,"3,229.60","4,104.24","2,730.74","10,939.2072653",874.6355663265310000000,"10,064.571698943700000000000000",273.48%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0xA231a5Ae629a0F15e1C1EB3FfBf813589e206926,"$40,000.0",874.64,"3,229.60","4,104.24","2,730.74","10,939.2072653",874.6355663265310000000,"10,064.571698943700000000000000",273.48%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0x07f82CEa5770723207f8544a00023DEb8968755E,"$30,000.0",874.64,"2,422.20","3,296.84","2,048.05","8,641.7232321",874.6355663265310000000,"7,767.087665789420000000000000",288.06%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0x68476977382d9cb85d11775B79252ee7d2859738,"$30,000.0",874.64,"2,422.20","3,296.84","2,048.05","8,641.7232321",874.6355663265310000000,"7,767.087665789420000000000000",288.06%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0xb4522eB2cA49963De9c3dC69023cBe6D53489C98,"$25,000.0",874.64,"2,018.50","2,893.14","1,706.71","7,492.9812155",874.6355663265310000000,"6,618.345649212270000000000000",299.72%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0x1c2CdDC58EAE7A9d6CFd2aA7b8ed7dDaD9900179,"$25,000.0",874.64,"2,018.50","2,893.14","1,706.71","7,492.9812155",874.6355663265310000000,"6,618.345649212270000000000000",299.72%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0xE539cd6F9DB04fE3c40Ff4a1C24A7453e7cf265D,"$24,875.0",874.64,"2,008.41","2,883.04","1,698.18","7,464.2626651",874.6355663265310000000,"6,589.627098797850000000000000",300.07%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0x5b4e28133aab99Ee9FC77B649127A6CFacf28793,"$20,264.6",874.64,"1,636.16","2,510.80","1,383.43","6,405.0236421",874.6355663265310000000,"5,530.388075800930000000000000",316.07%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0x96aa014BCd98990Df0652C0393525D11a1dA0D85,"$20,000.0",874.64,"1,614.80","2,489.44","1,365.37","6,344.2391990","6,344.2391989616600000000",0.000000000000000000000000,317.21%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0xB6605F98A5562b1AC821Bc5f2B75934239e8c6D6,"$20,000.0",874.64,"1,614.80","2,489.44","1,365.37","6,344.2391990","6,344.2391989616600000000",0.000000000000000000000000,317.21%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0xeD06c50BB6F49eDc029803D16FEC26AB7F640A08,"$19,295.0",874.64,"1,557.88","2,432.51","1,317.24","6,182.2665746","6,182.2665746242800000000",0.000000000000000000000000,320.41%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0x51102AfCA1fb28C349359643e2A28d8e40B97b8B,"$15,367.7",874.64,"1,240.79","2,115.42","1,049.13","5,279.9794152","5,279.9794151825600000000",0.000000000000000000000000,343.58%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0x1c2CdDC58EAE7A9d6CFd2aA7b8ed7dDaD9900179,"$15,000.0",874.64,"1,211.10","2,085.74","1,024.03","5,195.4971824","5,195.4971823845100000000",0.000000000000000000000000,346.37%
